Time, LOAD, AID, D0,D1,D2,D3,D4,D5,D6,D7
46990, 16 % , 201, 5, 105, 60, 204, 3, 33, 0, 0
47360, 21 % , 200, 167, 17, 39, 17, 39, 17, 128, 0
47519, 23 % , 201, 3, 126, 62, 232, 3, 33, 1, 0
47589, 25 % , 200, 167, 41, 39, 41, 39, 41, 128, 0
47653, 25 % , 228, 0, 2, 0, 0, 39, 41, 128, 0
47718, 26 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
47819, 27 % , 201, 3, 66, 63, 196, 3, 43, 0, 0
47944, 26 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
48059, 26 % , 201, 3, 79, 64, 60, 3, 53, 0, 0
48164, 26 % , 200, 167, 43, 39, 43, 39, 43, 128, 0
48299, 27 % , 201, 3, 50, 63, 156, 3, 53, 0, 0
48368, 27 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
48724, 28 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
49064, 27 % , 201, 3, 58, 63, 176, 3, 67, 0, 0
49258, 27 % , 200, 167, 51, 39, 51, 39, 51, 128, 0
49448, 27 % , 201, 3, 42, 63, 236, 3, 82, 0, 0
49594, 27 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
49678, 27 % , 4EA, 0, 55, 39, 55, 39, 55, 128, 0
49763, 27 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
