Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
38107 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
38174 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
38235 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
38296 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
38356 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
38418 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
38478 ms, -1, 228, 0, 4, 0, 0, 39, 42, 128, 0
38540 ms, -1, 433, 128, 6, 8, 1, 0, 172, 80, 0
38600 ms, -1, 228, 0, 4, 0, 0, 0, 172, 80, 0
38662 ms, -1, 240, 9, 0, 0, 0, 0, 172, 80, 0
38722 ms, -1, 240, 9, 0, 0, 0, 0, 172, 80, 0
38806 ms, -1, 240, 8, 0, 0, 0, 0, 172, 80, 0
38867 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
38933 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
39007 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
39067 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
39128 ms, -1, 228, 0, 4, 0, 0, 39, 39, 128, 0
39189 ms, -1, 240, 9, 0, 0, 0, 39, 39, 128, 0
39249 ms, -1, 228, 0, 4, 0, 0, 39, 39, 128, 0
40310 ms, 1, 240, 8, 0, 0, 0, 39, 39, 128, 0
40371 ms, 1, 240, 108, 0, 0, 0, 39, 39, 128, 0
40432 ms, 1, 240, 107, 0, 0, 0, 39, 39, 128, 0
40499 ms, 1, 240, 109, 0, 0, 0, 39, 39, 128, 0
40563 ms, 1, 240, 104, 0, 0, 0, 0, 0, 0, 0
40624 ms, 1, 200, 167, 48, 39, 48, 39, 48, 128, 0
40684 ms, 1, 200, 167, 48, 39, 48, 39, 48, 128, 0
40745 ms, 1, 200, 167, 48, 39, 48, 39, 48, 128, 0
40806 ms, 1, 200, 167, 47, 39, 47, 39, 47, 128, 0
40867 ms, 1, 240, 108, 0, 39, 47, 39, 47, 128, 0
40928 ms, 1, 240, 107, 0, 39, 47, 39, 47, 128, 0
40988 ms, 1, 240, 108, 0, 39, 47, 39, 47, 128, 0
41050 ms, 1, 228, 0, 4, 0, 0, 39, 47, 128, 0
41116 ms, 1, 240, 111, 0, 0, 0, 39, 47, 128, 0
41177 ms, 1, 4EA, 0, 0, 0, 0, 39, 47, 128, 0
41239 ms, 1, 433, 128, 6, 8, 1, 0, 172, 80, 0
41300 ms, 1, 228, 0, 4, 0, 0, 0, 172, 80, 0
41361 ms, 1, 240, 112, 0, 0, 0, 0, 172, 80, 0
41421 ms, 1, 240, 116, 0, 0, 0, 0, 172, 80, 0
41482 ms, 1, 240, 118, 0, 0, 0, 0, 172, 80, 0
41555 ms, 1, 240, 121, 0, 0, 0, 0, 172, 80, 0
41616 ms, 1, 231, 1, 75, 1, 0, 0, 0, 128, 0
41682 ms, 1, 240, 127, 0, 0, 0, 0, 0, 0, 0
41743 ms, 1, 200, 167, 50, 39, 50, 39, 50, 128, 0
41810 ms, 1, 200, 167, 52, 39, 52, 39, 52, 128, 0
41871 ms, 1, 240, 157, 0, 39, 52, 39, 52, 128, 0
41931 ms, 1, 240, 191, 0, 39, 52, 39, 52, 128, 0
41993 ms, 1, 240, 192, 0, 39, 52, 39, 52, 128, 0
42053 ms, 1, 200, 167, 51, 39, 51, 39, 51, 128, 0
42115 ms, 1, 200, 167, 52, 39, 52, 39, 52, 128, 0
42175 ms, 1, 201, 2, 245, 64, 0, 0, 0, 0, 0
42240 ms, 1, 433, 128, 6, 8, 1, 0, 172, 80, 0
42300 ms, 1, 240, 104, 0, 8, 1, 0, 172, 80, 0
42360 ms, 1, 240, 104, 0, 8, 1, 0, 172, 80, 0
42422 ms, 1, 240, 101, 0, 8, 1, 0, 172, 80, 0
42488 ms, 1, 240, 104, 0, 8, 1, 0, 172, 80, 0
42549 ms, 1, 228, 0, 4, 0, 0, 0, 172, 80, 0
42609 ms, 1, 240, 101, 0, 0, 0, 0, 172, 80, 0
42671 ms, 1, 240, 101, 0, 0, 0, 0, 172, 80, 0
42731 ms, 1, 240, 103, 0, 0, 0, 0, 172, 80, 0
42791 ms, 1, 240, 102, 0, 0, 0, 0, 172, 80, 0
42852 ms, 1, 240, 67, 0, 0, 0, 0, 172, 80, 0
42913 ms, 1, 200, 167, 57, 39, 57, 39, 57, 128, 0
42974 ms, 1, 200, 167, 58, 39, 58, 39, 58, 128, 0
43038 ms, 1, 228, 0, 4, 0, 0, 0, 0, 0, 0
43122 ms, 1, 240, 99, 0, 0, 0, 0, 0, 0, 0
43183 ms, 1, 200, 167, 62, 39, 62, 39, 62, 128, 0
43243 ms, 1, 200, 167, 63, 39, 63, 39, 63, 128, 0
43304 ms, 1, 201, 2, 229, 63, 236, 0, 0, 0, 0
43365 ms, 1, 240, 101, 0, 63, 236, 0, 0, 0, 0
43425 ms, 1, 240, 101, 0, 63, 236, 0, 0, 0, 0
43487 ms, 1, 240, 110, 0, 63, 236, 0, 0, 0, 0
43547 ms, 1, 228, 0, 4, 0, 0, 0, 0, 0, 0
43608 ms, 1, 430, 187, 16, 0, 0, 0, 0, 0, 0
43668 ms, 1, 240, 72, 0, 0, 0, 0, 0, 0, 0
43728 ms, 1, 240, 86, 0, 0, 0, 0, 0, 0, 0
43789 ms, 1, 240, 100, 0, 0, 0, 0, 0, 0, 0
43856 ms, 1, 240, 108, 0, 0, 0, 0, 0, 0, 0
43922 ms, 1, 240, 108, 0, 0, 0, 0, 0, 0, 0
43982 ms, 1, 200, 167, 61, 39, 61, 39, 61, 128, 0
44043 ms, 1, 200, 167, 60, 39, 60, 39, 60, 128, 0
44111 ms, 1, 240, 108, 0, 0, 0, 0, 0, 0, 0
44173 ms, 1, 200, 167, 60, 39, 60, 39, 60, 128, 0
44233 ms, 1, 200, 167, 59, 39, 59, 39, 59, 128, 0
44294 ms, 1, 228, 0, 4, 0, 0, 39, 59, 128, 0
45362 ms, -1, 240, 8, 0, 0, 0, 0, 0, 0, 0
45422 ms, -1, 200, 167, 61, 39, 61, 39, 61, 128, 0
45491 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
45552 ms, -1, 200, 167, 60, 39, 60, 39, 60, 128, 0
45613 ms, -1, 4EA, 0, 0, 0, 0, 0, 0, 0, 0
45681 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
45754 ms, -1, 200, 167, 57, 39, 57, 39, 57, 128, 0
45821 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
45882 ms, -1, 200, 167, 49, 39, 49, 39, 49, 128, 0
45948 ms, -1, 430, 186, 18, 0, 0, 0, 0, 0, 0
46009 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
46069 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
46130 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
46190 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
46275 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
46336 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
46401 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
46461 ms, -1, 201, 2, 250, 64, 20, 0, 0, 0, 0
46523 ms, -1, 200, 167, 42, 39, 43, 39, 43, 128, 0
46583 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
46645 ms, -1, 228, 0, 4, 0, 0, 39, 43, 128, 0
46705 ms, -1, 430, 186, 18, 0, 0, 39, 43, 128, 0
46767 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
