Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
52975 ms, 1, 201, 3, 200, 64, 0, 0, 0, 0, 0
53030 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
53086 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
53141 ms, 1, 228, 0, 4, 0, 0, 0, 0, 0, 0
53195 ms, 1, 240, 11, 0, 0, 0, 0, 0, 0, 0
53251 ms, 1, 430, 27, 150, 0, 0, 0, 0, 0, 0
53306 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
53361 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
53415 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
53471 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
53526 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
53581 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
53642 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
53697 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
53752 ms, 1, 430, 27, 150, 39, 42, 39, 42, 128, 0
53808 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
53863 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
53918 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
53974 ms, 1, 240, 12, 0, 39, 41, 39, 41, 128, 0
55029 ms, -1, 205, 0, 0, 64, 0, 0, 0, 0, 0
55085 ms, -1, 240, 13, 0, 64, 0, 0, 0, 0, 0
55139 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
55209 ms, -1, 240, 13, 0, 0, 0, 0, 0, 0, 0
55271 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55325 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55380 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55436 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55491 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
55545 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55601 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55656 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55711 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55766 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55821 ms, -1, 240, 13, 0, 0, 0, 0, 0, 0, 0
55882 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
55938 ms, -1, 201, 3, 220, 64, 0, 0, 0, 0, 0
55993 ms, -1, 240, 13, 0, 64, 0, 0, 0, 0, 0
56047 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
56102 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
56158 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
56213 ms, -1, 240, 12, 0, 1, 0, 0, 0, 128, 0
56268 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
56323 ms, -1, 240, 12, 0, 1, 0, 0, 0, 128, 0
56378 ms, -1, 240, 12, 0, 1, 0, 0, 0, 128, 0
56433 ms, -1, 240, 11, 0, 1, 0, 0, 0, 128, 0
56488 ms, -1, 228, 0, 4, 0, 0, 0, 0, 128, 0
56550 ms, -1, 240, 13, 0, 0, 0, 0, 0, 128, 0
56622 ms, -1, 240, 12, 0, 0, 0, 0, 0, 128, 0
56677 ms, -1, 240, 11, 0, 0, 0, 0, 0, 128, 0
56731 ms, -1, 240, 12, 0, 0, 0, 0, 0, 128, 0
56786 ms, -1, 201, 3, 219, 64, 0, 0, 0, 0, 0
56842 ms, -1, 240, 11, 0, 64, 0, 0, 0, 0, 0
56897 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
56952 ms, -1, 240, 13, 0, 0, 0, 0, 0, 0, 0
57007 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
57062 ms, -1, 200, 167, 38, 39, 38, 39, 38, 128, 0
57117 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
57196 ms, -1, 200, 167, 38, 39, 38, 39, 38, 128, 0
57252 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
