Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
33740, 2737 rpm , 201, 10, 179, 63, 216, 0, 0, 11, 0
33841, 2747 rpm , 200, 167, 10, 39, 10, 39, 10, 128, 0
34301, 2743 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
34370, 2746 rpm , 200, 167, 9, 39, 9, 39, 9, 128, 0
34449, 2744 rpm , 430, 186, 18, 39, 9, 39, 9, 128, 0
34510, 2744 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
34680, 2747 rpm , 201, 10, 188, 64, 80, 0, 0, 11, 0
34749, 2750 rpm , 430, 186, 18, 64, 80, 0, 0, 11, 0
34820, 2753 rpm , 201, 10, 192, 64, 40, 0, 0, 11, 0
34889, 2750 rpm , 201, 10, 190, 63, 216, 0, 0, 11, 0
34978, 2747 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
35049, 2750 rpm , 430, 186, 18, 39, 8, 39, 8, 128, 0
35421, 2749 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
35510, 2745 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
35611, 2741 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
35709, 2733 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
35790, 2734 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
35950, 2729 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
36019, 2728 rpm , 200, 167, 7, 39, 7, 39, 7, 128, 0
36088, 2721 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
36149, 2721 rpm , 430, 186, 18, 39, 8, 39, 8, 128, 0
36229, 2719 rpm , 201, 10, 157, 63, 196, 0, 0, 11, 0
36308, 2722 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
36810, 2729 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
36878, 2730 rpm , 200, 167, 9, 39, 9, 39, 9, 128, 0
37109, 2732 rpm , 420, 141, 0, 144, 0, 0, 0, 0, 0
37178, 2734 rpm , 200, 167, 8, 39, 8, 39, 8, 128, 0
37248, 2730 rpm , 201, 10, 172, 63, 196, 0, 0, 11, 0
37318, 2732 rpm , 201, 10, 171, 64, 20, 0, 0, 11, 0
37388, 2734 rpm , 201, 10, 175, 64, 60, 0, 0, 11, 0
37457, 2737 rpm , 201, 10, 178, 64, 40, 0, 0, 11, 0
37683, 2734 rpm , 228, 0, 4, 0, 0, 181, 0, 0, 0
38088, 2732 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
38178, 2733 rpm , 201, 10, 174, 64, 0, 0, 0, 11, 0
38798, 2729 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
38981, 2730 rpm , 228, 0, 4, 0, 0, 162, 0, 0, 0
39047, 2726 rpm , 201, 10, 165, 63, 196, 0, 0, 11, 0
39258, 2723 rpm , 228, 0, 4, 0, 0, 155, 0, 0, 0
39321, 2723 rpm , 228, 0, 4, 0, 0, 155, 0, 0, 0
